,Title,Genre,Image_Link
80,Small Axe: Lovers Rock,Drama,https://www.metacritic.com/a/img/resize/cf365ded3361a5fb43ec2152e1e896aa75c7c614/catalog/provider/7/2/7-1699465895.jpg?auto=webp&fit=cover&height=132&width=88
81,The Bride of Frankenstein,Drama,https://www.metacritic.com/a/img/resize/f54edd40c2f9f4c89a26b8ef13f738e29b575f2d/catalog/provider/2/2/2-8ddeb732a1718557bf1821f31e434772.jpg?auto=webp&fit=cover&height=132&width=88
82,Don't Look Now,Drama,https://www.metacritic.com/a/img/resize/0c78b37c901634358d6e9a22873ed41bd0c8874c/catalog/provider/2/2/2-f81650de0c9bca30047ef312c054233c.jpg?auto=webp&fit=cover&height=132&width=88
83,The Social Network,Biography,https://www.metacritic.com/a/img/resize/1223e187a2d7ee0d7feb8287c0367ab05b425fdf/catalog/provider/2/2/2-06f66deef6a9890d5345c659a1e230bc.jpg?auto=webp&fit=cover&height=132&width=88
84,My Fair Lady,Drama,https://www.metacritic.com/a/img/resize/bf0ca31df782201ccf358d962b8d1ec2b6e3d0eb/catalog/provider/2/2/2-7a92a2242370f7afc772b38bf0c149b3.jpg?auto=webp&fit=cover&height=132&width=88
85,Portrait of a Lady on Fire,Drama,https://www.metacritic.com/a/img/resize/87374f5ab8e221dd9f6982c50c33d86685ded98d/catalog/provider/2/2/2-22714a23b498ba665f8417e285a3aa6d.jpg?auto=webp&fit=cover&height=132&width=88
86,I Am Not Your Negro,Documentary,https://www.metacritic.com/a/img/resize/8585c5faabc6aa3f0f221f7ffedebdc4cc400ef3/catalog/provider/2/2/2-084cd1d92b0fdadb81b149bf2793018b.jpg?auto=webp&fit=cover&height=132&width=88
87,Woodstock,Documentary,https://www.metacritic.com/a/img/resize/978de5cb653310857161803e3f3a9b301b66a203/catalog/provider/2/2/2-296bd62f85edb40aff496d0466c672a6.jpg?auto=webp&fit=cover&height=132&width=88
88,Aftersun,Drama,https://www.metacritic.com/a/img/resize/4befd7d54aaf9cced820a9019e72948f35039f1b/catalog/provider/2/2/2-a212d895d29844863024845f7e110530.jpg?auto=webp&fit=cover&height=132&width=88
89,Rocks,Drama,https://www.metacritic.com/a/img/resize/bc17f756660705f46c5d3042f3152596f11639dc/catalog/provider/2/2/2-050166ebb2de8275cc078060a30408e0.jpg?auto=webp&fit=cover&height=132&width=88
90,Amour,Drama,https://www.metacritic.com/a/img/resize/037eb6b4f4255c76df875a24abe7024962b5b8fd/catalog/provider/2/2/2-d78c7a93f79885dcfa627b09b0439d54.jpg?auto=webp&fit=cover&height=132&width=88
91,The Hurt Locker,Drama,https://www.metacritic.com/a/img/resize/cc33fc019a9e8c0b08b2bc0d2d67330fe79351b4/catalog/provider/2/2/2-adde6969853075cdc993342c0b9221d1.jpg?auto=webp&fit=cover&height=132&width=88
92,Anatomy of a Murder,Drama,https://www.metacritic.com/a/img/resize/3683c04af164a225769bdc41598594e5a0a7cd23/catalog/provider/2/2/2-af7cbaeaaf7f82bcf07a8e738efaebd9.jpg?auto=webp&fit=cover&height=132&width=88
93,Zero Dark Thirty,Drama,https://www.metacritic.com/a/img/resize/7b2c29cc6e0b81aa0e23d5026332fb59169f7bfb/catalog/provider/2/2/2-1901bb30f0bb3726062a4a50703d74c9.jpg?auto=webp&fit=cover&height=132&width=88
94,Collective,Documentary,https://www.metacritic.com/a/img/resize/bf1bcdae85e9bbde76ddedc84cfef78369fbb271/catalog/provider/2/2/2-7876828b0cbfccf900bdc8376efe35f9.jpg?auto=webp&fit=cover&height=132&width=88
95,A Separation,Drama,https://www.metacritic.com/a/img/resize/a2cd516f022115df8b7b1c90d9722c6c25443553/catalog/provider/2/2/2-f0dd8b59485208bf89c6274652f1a11b.jpg?auto=webp&fit=cover&height=132&width=88
96,Double Indemnity,Crime,https://www.metacritic.com/a/img/resize/4dbc70481dfe9d809942a044193530c78f278a25/catalog/provider/2/2/2-063e93f68ae5239adfbb0cc7ee29f64e.jpg?auto=webp&fit=cover&height=132&width=88
97,Sunrise,Drama,https://www.metacritic.com/a/img/resize/65172ff47bea362d5da58da337fd01241788c646/catalog/provider/2/2/2-836cbc0ebc7a74596f72dc104616f451.jpg?auto=webp&fit=cover&height=132&width=88
98,Pulp Fiction,Crime,https://www.metacritic.com/a/img/resize/90c6f08c836f1879f65c95bc22caf6939d3c9408/catalog/provider/2/2/2-0267c3bb3c2a782833e67bab398383e5.jpg?auto=webp&fit=cover&height=132&width=88
99,Our Body,Documentary,https://www.metacritic.com/a/img/resize/f9ffa294a9dcb0a243a4599d8022bbaab58d00c5/catalog/provider/2/2/2-4116edbb2e60665b38c65e77e4f846d1.jpg?auto=webp&fit=cover&height=132&width=88
100,La Dolce Vita,Comedy,https://www.metacritic.com/a/img/resize/dc986d5ee21ee5c383998cb3f1f0b7bdbe5bcad5/catalog/provider/2/2/2-22ca40a4a6ad145e6ba860dbc73ce1a5.jpg?auto=webp&fit=cover&height=132&width=88
101,Schindler's List,Biography,https://www.metacritic.com/a/img/resize/662493c70cd90b81f610c69eef3401e8af4ce611/catalog/provider/2/2/2-b34602d07fdd76ef0b8c6fa0870d5860.jpg?auto=webp&fit=cover&height=132&width=88
102,WALL-E,Animation,https://www.metacritic.com/a/img/resize/2d6454ef8acc62c4b32150898a74c7dd6c01d779/catalog/provider/2/2/2-4edbd70f54caaba2e1896d92332e5523.jpg?auto=webp&fit=cover&height=132&width=88
103,Carol,Drama,https://www.metacritic.com/a/img/resize/7b3783def087f9b94e7a0391870fc81d08cc8449/catalog/provider/2/2/2-f7316f7e14637d049239318771fdd1a0.jpg?auto=webp&fit=cover&height=132&width=88
104,Before Midnight,Drama,https://www.metacritic.com/a/img/resize/78af1933474ab1cabef0d370e40e4a6b1bd060b3/catalog/provider/2/2/2-98765357862ddef3f36629a1fffc9f4c.jpg?auto=webp&fit=cover&height=132&width=88
105,Amazing Grace,Documentary,https://www.metacritic.com/a/img/resize/c9768aca6700508b5935047cbf28b68056b14c9e/catalog/provider/2/2/2-72fdea2b464698b4d90ddcb2a8fa7acd.jpg?auto=webp&fit=cover&height=132&width=88
106,Dunkirk,Action,https://www.metacritic.com/a/img/resize/b7fc2bc462e7521f93c8a5ceacd8eb63ea36feae/catalog/provider/2/2/2-5add7a1926af298b321b5359df4d6968.jpg?auto=webp&fit=cover&height=132&width=88
107,The Man Who Shot Liberty Valance,Drama,https://www.metacritic.com/a/img/resize/1ea414b8120f0a4817b02583faedac50ab1fb74f/catalog/provider/2/2/2-c3786767db4a9375547f496fe5739416.jpg?auto=webp&fit=cover&height=132&width=88
108,The Searchers,Adventure,https://www.metacritic.com/a/img/resize/a094460fe0c86e222010622c56eeb2ef6d3342cd/catalog/provider/2/2/2-64d572ce1f5b5fa87dace6d1e28d0d24.jpg?auto=webp&fit=cover&height=132&width=88
109,45 Years,Drama,https://www.metacritic.com/a/img/resize/6a5bd5bbb7974005d66c3fe569c21e3786ea3145/catalog/provider/2/2/2-7e75f9d82b9daa3efdb74ef6d7d5505f.jpg?auto=webp&fit=cover&height=132&width=88
110,Taxi Driver,Crime,https://www.metacritic.com/a/img/resize/0463debe50a56c4127374a4febe28200fa6b8fcb/catalog/provider/5/2/5-tt0075314.jpg?auto=webp&fit=cover&height=132&width=88
111,The Servant,Drama,https://www.metacritic.com/a/img/resize/4933934df31e7b3062289ca9076aaff7574993bf/catalog/provider/2/2/2-970d14909d7e958a01ffb46eb5395556.jpg?auto=webp&fit=cover&height=132&width=88
112,Yi Yi,Drama,https://www.metacritic.com/a/img/resize/00c17f0d5243e0a3da95f7bf7b40365e0b32c477/catalog/provider/2/2/2-8a44dd121e4965feedaac219a614514c.jpg?auto=webp&fit=cover&height=132&width=88
