,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
46,DUNE,R,2021, Sci-fi/Adventure,['7.60'], 2h 35m,https://resizing.flixster.com/9cA15MFFCoFW0NPFlVue7pVHF0Q=/206x305/v2/https://resizing.flixster.com/gcRn4_emLo1Iz5ndbvUOKDYq35c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdhYTI2NDJkLTU5YTYtNDNkOS05ZWQxLWZiNjFlOTZmYjZlZS5qcGc=
47,NYAD,R,2023, Biography/Drama,['7.00'], 2h 1m,https://resizing.flixster.com/qVKx9WY7zFAy3H6-7L5-gihgBL8=/206x305/v2/https://resizing.flixster.com/USyHLImaPpxv-2fWRqj5jBpE2xw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM4ZDVlYWU4LWM1OWQtNDFkYy05MWNjLTlmNjE3NjkyNmM2Zi5qcGc=
48,SOUND OF FREEDOM,R,2022, Crime/Drama,['Fresh'], 2h 11m,https://resizing.flixster.com/LNU_KHi8ZIGPIK5YeHI55s4XD7c=/206x305/v2/https://resizing.flixster.com/5daqWNXuHIMr2z_mRSaT0ewHNrA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJhM2ZlOWM4LTM0YmQtNDQ0OC1iZDYzLWU3OTIxZWFmN2FkNS5qcGc=
49,PLEASE DON'T DESTROY: THE TREASURE OF FOGGY MOUNTAIN,R,2023, Comedy/Adventure,['5.60'], 1h 32m,https://resizing.flixster.com/y0I_NpRMPhqkcERCF76hkFKX7lk=/206x305/v2/https://resizing.flixster.com/oom6XbG5iU41Eldr7mv4XpbCXcc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMxMTQ3ZmM2LWE5NzgtNDE4NS1hYWRkLTZiOWU2N2IwMmIwOC5qcGc=
50,THE STRANGER,R,2022, Crime/Drama,['Fresh'], 1h 57m,https://resizing.flixster.com/my9W88nituE2qhdLMIxWFJPdK7Y=/206x305/v2/https://resizing.flixster.com/q8zUtlUy8hfG49LYVHIvZQlNQJE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM1MTA4MTk5LTFjMDYtNDZiOS1iN2RjLTI5NDU1NzI4YTFiOS5qcGc=
51,NO HARD FEELINGS,R,2023, Romance/Comedy,['6.10'], 1h 43m,https://resizing.flixster.com/nO4HJBwy8hKB4Pv4AA5ye9T3TVc=/206x305/v2/https://resizing.flixster.com/DDToSwhHClBZGg_iBmbyfuEybas=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzc0MTM0MGM4LTg0ODItNGQyOC1hYzBkLTUzZjVhOTBlNDVmMy5qcGc=
52,THE FLORIDA PROJECT,R,2017, Drama,['8.80'], 1h 55m,https://resizing.flixster.com/_rb2FVCePxBQwOgaqiy8v9F4ucg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14263302_p_v8_as.jpg
53,MURDER AND COCKTAILS,R,2024, Mystery & thriller/Comedy,['N/A'], 1h 29m,https://resizing.flixster.com/coclozu_RKSGERU6t8658fjH6WA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25859216_v_v13_aa.jpg
54,DREAM SCENARIO,R,2023, Comedy/Drama,['7.50'], 1h 42m,https://resizing.flixster.com/x4fzmURIicdLI3689eqLqUSAOSw=/206x305/v2/https://resizing.flixster.com/IIgJhkc98BZTFlSDRegHcqF7y1c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q0MDZmMTI1LThiZjktNDE4NS04ZjIwLWYzYmU5YzJjZDE3Yy5qcGc=
55,FIVE NIGHTS AT FREDDY'S,R,2023, Horror/Mystery & thriller,['4.60'], 1h 50m,https://resizing.flixster.com/EA3t3rwi2u28B-nLQJ5PtgBKtWo=/206x305/v2/https://resizing.flixster.com/NFhss816If2YlSBDd2154Z6-KHw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2UyNTU5YzhjLTI4ODktNDg2Yy1hMmM0LWY0ZDM0Y2FkNjA3Yy5qcGc=
56,THE LEGEND OF TARZAN,R,2016, Adventure/Action,['5.10'], 1h 50m,https://resizing.flixster.com/l079208exXDTGVFEzUII0k1B0I4=/206x305/v2/https://resizing.flixster.com/yKqoQcqG8DhUXGr0yHfk9NN5S8k=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdlYTA2ZDdmLTQyNTUtNDk3Yi1hYzBjLTY4ZTBjMjRjZWUxYS53ZWJw
57,YOU HURT MY FEELINGS,R,2023, Comedy/Drama,['7.70'], 1h 33m,https://resizing.flixster.com/scSP_rQ9yFiBxoXqIk6_gGjpgpw=/206x305/v2/https://resizing.flixster.com/JH4n6n1XT3UqIo9gFEbNka4AFWQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E1OTRkNzEwLTJiY2ItNGFkNS1iNTU3LTJjNzZlZWI4YzU1MC5qcGc=
58,DARIO ARGENTO PANICO,R,2023, Documentary/Biography,['Fresh'], 1h 38m,https://resizing.flixster.com/7f5prb6yFquKS4_t3YLi3AT0jns=/206x305/v2/https://resizing.flixster.com/RxZfy3gyMP-NVcdMUsOeL0ruQLM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FkZjkwYTM1LTc5ZjAtNDk0Ni1hYjMzLTBmNTczNjcyMmM4NS5wbmc=
59,SILENT NIGHT,R,2021, Horror/Drama,['6.20'], 1h 32m,https://resizing.flixster.com/anBpJi7Fu5yj9vzOFuThxUYy0kQ=/206x305/v2/https://resizing.flixster.com/hDfVsuQChoVCBCa6a98mL5g2qlg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MwODNkNDBiLTcwYzQtNDc5OS1hYWQ5LTlmNmY4MzI5ZThiNi5qcGc=
